scene_id agent_id completed_episodes green amber red amber_red collision wall not_permitted target step_count
8 5 1 1 0 0 0 0 0 0 1 938
18 9 1 2 0 0 0 0 0 0 1 940
20 4 1 1 0 0 0 0 0 0 1 944
9 8 1 1 0 0 0 0 0 0 1 949
7 9 2 1 0 0 0 0 0 0 1 949
15 8 1 1 0 0 0 0 0 0 1 957
9 5 1 1 0 0 0 0 0 0 1 957
14 8 3 1 0 0 0 0 0 0 1 223
8 4 1 1 0 0 0 0 0 0 1 961
10 8 1 1 0 0 0 0 0 0 1 962
18 4 1 1 0 0 0 0 0 0 1 966
14 4 2 1 0 0 0 0 0 0 1 966
11 4 1 1 0 0 0 0 0 0 1 970
10 9 1 1 0 0 0 0 0 0 1 987
15 9 1 1 0 0 0 0 0 0 1 992
8 9 1 1 0 0 0 0 0 0 1 998
6 4 1 1 0 0 0 0 0 0 1 1001
12 9 1 1 0 0 0 0 0 0 1 1002
13 4 1 1 0 0 0 0 0 0 1 1004
20 9 1 1 0 0 0 0 0 0 1 1005
14 9 1 1 0 0 0 0 0 0 1 1008
14 5 3 1 0 0 0 0 0 0 1 250
13 9 1 1 0 0 0 0 0 0 1 1019
10 5 1 1 0 0 0 0 0 0 1 1022
17 9 2 1 0 0 0 0 0 0 1 197
12 8 2 1 0 0 0 0 0 0 1 1030
15 5 1 1 0 0 0 0 0 0 1 1034
11 8 2 1 0 0 0 0 0 0 1 203
19 4 1 1 0 0 0 0 0 0 1 1038
20 5 1 1 0 0 0 0 0 0 1 1045
6 8 1 1 0 0 0 0 0 0 1 1048
13 8 1 1 0 0 0 0 0 0 1 1049
19 9 1 1 0 0 0 0 0 0 1 1055
6 5 2 1 0 0 0 0 0 0 1 1059
7 5 3 1 0 0 0 0 0 0 1 212
16 4 3 1 0 0 0 0 0 0 1 177
21 5 2 1 0 0 0 0 0 0 1 224
11 9 2 1 0 0 0 0 0 0 1 248
18 5 2 1 0 0 0 0 0 0 1 270
16 9 2 1 0 0 0 0 0 0 1 190
21 4 2 1 0 0 0 0 0 0 1 274
21 8 2 1 0 0 0 0 0 0 1 211
21 4 2 0 0 0 0 1 0 0 0 3
21 8 2 0 0 0 0 1 0 0 0 1
13 5 1 1 0 0 0 0 0 0 1 1106
12 5 1 1 0 0 0 0 0 0 1 1108
17 8 2 1 0 0 0 0 0 0 1 191
16 5 2 1 0 0 0 0 0 0 1 231
9 9 2 1 0 0 0 0 0 0 1 257
20 8 1 1 0 0 0 0 0 0 1 1123
7 8 2 1 0 0 0 0 0 0 1 281
19 5 1 1 0 0 0 0 0 0 1 1125
10 4 2 1 0 0 0 0 0 0 1 202
12 4 2 1 0 0 0 0 0 0 1 1135
19 7 2 1 0 0 0 0 0 0 1 857
19 8 1 1 0 0 0 0 0 0 1 1141
17 5 2 1 0 0 0 0 0 0 1 272
11 5 2 1 0 0 0 0 0 0 1 279
7 4 2 1 0 0 0 0 0 0 1 266
